descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Calculate the mean; median; mode; or range for a set of data.,M,1,1,1,1
Calculate the median for a set of data.,M,1,1,1,1
Calculate the range for a set of data.,L,0,2,0,2
Classify angles.,L,1,1,1,1
Classify triangles as right; acute; obtuse; equilateral; scalene; or isosceles.,L,1,1,1,1
Create a practical situation given an open sentence.,L,1,3,1,1
Define a variable in an expression representing a practical problem situation.,M,0,2,0,2
Describe mean as a fair share.,L,1,1,1,1
Describe the characteristics of odd and even numbers.,L,2,0,2,0
Describe the results of combining and subdividing shapes.,M,0,2,0,2
Determine area from given information.,M,0,2,0,2
Determine elapsed time to the nearest minute within a 12-hour period.,L,0,2,0,2
Determine possible outcomes of a single event.,L,2,0,2,0
Determine possible outcomes of a single event.,M,0,2,0,2
Determine the appropriate application of area; perimeter; or volume when given a situation.,M,1,1,1,1
Determine the measure of right; acute; straight; or obtuse angles.,M,1,1,1,1
Estimate and measure an object using U.S. Customary units.,L,0,2,0,2
Identify a variable in an open sentence.,L,1,1,1,1
Identify an appropriate unit of measure for a given situation.,L,0,2,0,2
Identify equivalent measurements within the metric system.,M,1,1,1,1
Identify prime and composite numbers.,L,1,1,1,1
Identify prime and composite numbers.,M,1,1,1,1
Identify the parts of a circle.,L,2,0,2,0
Identify triangles; squares; rectangles; parallelograms; rhombi; and trapezoids using attributes.,M,1,1,1,1
Identify; describe; and extend numerical patterns.,L,1,1,1,1
Interpret information represented in a line graph.,L,1,1,1,1
Model a one-step linear equation.,L,4,0,2,0
Recognize the application of the distributive property.,L,2,0,2,0
Round decimal numbers.,L,0,2,0,2
Use a data set to construct a stem-and-leaf plot.,L,1,1,1,1
Use an open sentence to represent a practical problem situation.,L,0,2,0,2
Use words to express the relationship found in a pattern.,L,1,1,1,1
‡ Compare and order fractions and decimals.,M,1,1,1,1
‡ Evaluate single-step expressions involving addition; subtraction; multiplication; or division of decimals.,L,4,0,2,0
‡ Evaluate single-step expressions involving addition; subtraction; multiplication; or division of decimals.,M,4,0,2,0
‡ Identify the operation or step used while applying the order of operations to whole number numerical expressions.,L,2,0,2,0
‡ Order a set of decimals and fractions.,M,0,2,0,2
‡ Represent equivalent relationships between decimals and fractions.,L,2,0,2,0
‡ Simplify whole number numerical expressions using the order of operations.,L,1,1,1,1
‡ Solve multistep practical problems involving addition; subtraction; multiplication; or division of whole numbers.,L,0,2,0,2
‡ Solve multistep practical problems involving decimals.,M,0,2,0,2
‡ Solve multistep practical problems involving fractions and mixed numbers.,L,0,2,0,2
‡ Solve multistep practical problems involving fractions and mixed numbers.,M,0,2,0,2
‡ Solve multistep practical problems involving whole numbers.,L,0,2,0,2
‡ Solve single-step practical problems involving addition; subtraction; multiplication; or division of whole numbers.,L,0,2,0,2
‡ Solve single-step practical problems involving fractions and mixed numbers.,M,1,1,1,1
