descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Analyze outcome based on different point of view.,M,0,2,0,2
Apply knowledge of affixes.,L,2,0,2,0
Compare characters; settings; and events.,L,0,2,0,2
Demonstrate comprehension by predicting an appropriate text heading.,M,1,1,1,1
Demonstrate understanding of plot structure and resolution.,L,1,1,1,1
Determine information relevant to a summary.,L,0,4,0,2
Determine the cause/effect relationship.,L,1,3,1,1
Determine the cause/effect relationship.,M,1,1,1,1
Determine the meanings of words from other content areas.,L,1,1,1,1
Determine the most relevant conclusion.,L,2,0,2,0
Differentiate between fact and opinion.,L,0,2,0,2
Draw conclusions based on textual support.,L,1,1,1,1
Draw conclusions based on textual support.,M,1,3,1,1
Draw conclusions on explicit information using textual support.,L,1,3,1,1
Identify antonyms.,M,1,1,1,1
Identify comparison relationships.,L,2,2,1,1
Identify figurative language in text.,L,1,1,1,1
Identify figurative language in text.,M,0,2,0,2
Identify supporting details.,L,3,3,2,0
Identify synonyms.,M,1,1,1,1
Identify the author's organizational pattern.,M,1,1,1,1
Identify the main idea.,L,5,5,2,0
Infer an author's opinion using text as support.,L,1,3,1,1
Interpret figurative language in text.,L,2,0,2,0
Make predictions.,L,0,2,0,2
Summarize text relating supporting details.,M,1,1,1,1
Use author's word choice to infer characterization.,M,1,1,1,1
Use context to determine meanings of words.,L,1,1,1,1
