descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Analyze and extend a geometric sequence.,H,1,1,1,1
Analyze and extend a geometric sequence.,L,14,7,14,5
Analyze and extend a geometric sequence.,M,28,27,28,27
Analyze and extend an arithmetic sequence.,L,32,4,29,4
Analyze and extend an arithmetic sequence.,M,6,12,6,12
Analyze and extend arithmetic and geometric sequences.,M,5,15,5,15
Assign a point to the correct quadrant or axis.,L,33,25,24,8
Assign a point to the correct quadrant or axis.,M,71,48,54,13
Compare and contrast graphs that represent the same set of data.,L,9,14,7,7
Compare and contrast graphs that represent the same set of data.,M,42,65,36,36
Compare and order integers.,L,62,24,60,17
Construct graphical representations that represent the same set of data.,M,0,1,0,1
Describe and use algebraic terms appropriately.,L,0,3,0,3
Describe and use algebraic terms appropriately.,M,18,27,18,25
Describe how to solve a one-step linear equation.,H,3,15,3,15
Describe how to solve a one-step linear equation.,L,17,7,17,7
Describe how to solve a one-step linear equation.,M,19,21,18,17
Describe the best measure of central tendency for a given set of data.,L,3,0,3,0
Describe the best measure of central tendency for a given set of data.,M,19,27,19,25
Describe the location of a point on a coordinate plane.,L,1,0,1,0
Determine if two events are dependent or independent.,L,21,19,18,13
Determine if two events are dependent or independent.,M,35,22,35,18
Determine the length of horizontal and/or vertical line segments on the coordinate plane.,L,1,1,1,1
Determine the length of horizontal and/or vertical line segments on the coordinate plane.,M,4,11,4,11
Determine the ratio in a given situation.,H,0,1,0,1
Determine the ratio in a given situation.,L,17,6,15,4
Determine the ratio in a given situation.,M,17,48,15,44
Determine the size of a section of a circle graph used to represent a given category.,H,4,2,3,2
Determine the size of a section of a circle graph used to represent a given category.,L,4,2,4,1
Determine the size of a section of a circle graph used to represent a given category.,M,15,28,15,24
Estimate measurements using benchmarks.,L,6,1,6,1
Find a missing angle measure of a quadrilateral.,H,2,1,2,1
Find a missing angle measure of a quadrilateral.,L,3,6,3,5
Find a missing angle measure of a quadrilateral.,M,10,13,10,13
Find possible dimensions of a rectangular prism given the surface area.,M,6,1,6,1
Find possible dimensions of a rectangular prism given the volume.,L,1,1,1,1
Find possible dimensions of a rectangular prism given the volume.,M,3,2,3,2
Find the probability of two dependent events.,H,4,1,4,1
Find the probability of two dependent events.,L,7,6,7,4
Find the probability of two dependent events.,M,19,17,19,17
Find the probability of two independent events.,H,7,2,7,2
Find the probability of two independent events.,M,18,37,18,36
Find the surface area of a rectangular prism.,L,58,5,54,3
Find the surface area of a rectangular prism.,M,3,2,3,2
Find the volume of a rectangular prism.,L,7,0,6,0
Find the volume of a rectangular prism.,M,5,5,5,5
Graph a point on the coordinate plane.,L,6,2,6,2
Graph a point on the coordinate plane.,M,2,2,2,2
Identify a circle graph that represents given data.,L,2,5,2,5
Identify a circle graph that represents given data.,M,6,6,6,6
Identify and describe the absolute value of an integer.,H,3,4,3,4
Identify and describe the absolute value of an integer.,L,11,4,9,4
Identify and describe the absolute value of an integer.,M,14,18,14,18
Identify and represent integers.,L,4,9,4,8
Identify and represent integers.,M,25,19,25,17
Identify and represent perfect squares.,L,35,7,32,4
Identify and represent perfect squares.,M,14,4,13,4
Identify arithmetic and geometric sequences.,M,3,17,3,17
Identify congruent sides and/or angles of congruent polygons.,H,1,0,1,0
Identify congruent sides and/or angles of congruent polygons.,L,5,4,5,4
Identify congruent sides and/or angles of congruent polygons.,M,18,13,18,13
Identify the distance of a point from each axis or a point on the same vertical or horizontal line.,H,2,2,2,2
Identify the distance of a point from each axis or a point on the same vertical or horizontal line.,L,1,3,1,3
Identify the distance of a point from each axis or a point on the same vertical or horizontal line.,M,8,7,8,7
Interpret information presented in a circle graph to draw conclusions.,H,2,3,2,3
Interpret information presented in a circle graph to draw conclusions.,L,11,6,10,3
Interpret information presented in a circle graph to draw conclusions.,M,24,55,21,37
Model the division of fractions.,L,1,2,1,2
Model the division of fractions.,M,3,12,3,12
Model the multiplication of fractions.,L,0,2,0,2
Recognize the application of the additive identity property and multiplicative identity property.,L,2,2,2,2
Recognize the application of the additive identity property and multiplicative identity property.,M,1,1,1,1
Recognize the application of the additive identity property.,H,3,2,3,2
Recognize the application of the additive identity property.,L,2,1,2,1
Recognize the application of the additive identity property.,M,22,18,22,18
Recognize the application of the multiplicative identity property.,H,1,1,1,1
Recognize the application of the multiplicative identity property.,L,1,4,1,4
Recognize the application of the multiplicative identity property.,M,7,11,7,11
Recognize the application of the multiplicative inverse property.,M,40,15,39,13
Recognize the application of the multiplicative property of zero.,L,9,7,8,5
Recognize the application of the multiplicative property of zero.,M,16,6,16,6
Represent a ratio in an equivalent form.,H,0,4,0,4
Represent a ratio in an equivalent form.,L,2,2,2,2
Represent a ratio in an equivalent form.,M,10,27,10,27
Represent exponential expressions in equivalent forms.,L,30,0,29,0
Represent exponential expressions in equivalent forms.,M,0,2,0,2
Represent fractions; decimals; and percents using various models.,L,15,6,14,3
Represent fractions; decimals; and percents using various models.,M,21,26,21,26
Solve a multistep practical problem involving decimals.,H,2,1,2,1
Solve a multistep practical problem involving decimals.,L,12,12,12,9
Solve a multistep practical problem involving decimals.,M,24,35,24,35
Solve a multistep practical problem involving fractions and/or mixed numbers.,H,5,5,5,5
Solve a multistep practical problem involving fractions and/or mixed numbers.,L,4,6,3,6
Solve a multistep practical problem involving fractions and/or mixed numbers.,M,29,36,28,34
Solve a one-step linear equation represented by a model.,L,17,12,17,10
Solve a one-step linear equation.,L,43,26,33,8
Solve a one-step linear equation.,M,17,13,16,13
Solve a single-step practical problem involving addition or subtraction of decimals.,L,8,2,8,2
Solve a single-step practical problem involving addition or subtraction of fractions and/or mixed numbers.,L,5,2,5,2
Solve a single-step practical problem involving addition or subtraction of fractions and/or mixed numbers.,M,20,20,19,20
Solve a single-step practical problem involving multiplication or division of decimals.,L,63,13,62,10
Solve a single-step practical problem involving multiplication or division of fractions and/or mixed numbers.,L,2,4,2,4
Solve a single-step practical problem involving multiplication or division of fractions and/or mixed numbers.,M,4,30,4,28
Solve practical problems involving the area and perimeter of a rectangle or triangle.,L,3,2,3,2
Solve practical problems involving the area and perimeter of a rectangle or triangle.,M,13,30,13,27
Solve practical problems involving the area of a circle.,H,4,4,4,4
Solve practical problems involving the area of a circle.,M,39,21,38,18
Solve practical problems involving the area of rectangles and/or triangles.,H,1,1,1,1
Solve practical problems involving the area of rectangles and/or triangles.,L,5,3,5,3
Solve practical problems involving the area of rectangles and/or triangles.,M,28,21,28,21
Solve practical problems involving the circumference of a circle.,H,2,2,2,2
Solve practical problems involving the circumference of a circle.,L,13,7,12,7
Solve practical problems involving the circumference of a circle.,M,13,11,13,10
Solve practical problems involving the perimeter of rectangles and/or triangles.,L,1,7,1,7
Solve practical problems involving the perimeter of rectangles and/or triangles.,M,16,15,16,15
Solve problems involving the definition of pi.,H,1,0,1,0
Solve problems involving the definition of pi.,L,6,7,5,6
Solve problems involving the definition of pi.,M,20,29,20,28
Translate between the graphical and symbolic representation of an inequality.,L,15,5,9,5
Translate between the graphical and symbolic representation of an inequality.,M,110,42,62,15
Use a number line to define the mean as balance point for a given set of data.,H,1,0,1,0
Use a number line to define the mean as balance point for a given set of data.,L,12,11,10,7
Use a number line to define the mean as balance point for a given set of data.,M,49,25,40,16
Use attributes to classify; describe; and identify quadrilaterals.,H,5,9,5,9
Use attributes to classify; describe; and identify quadrilaterals.,L,4,5,3,5
Use attributes to classify; describe; and identify quadrilaterals.,M,23,23,20,21
Use attributes to determine congruence of segments.,L,5,4,5,3
Use attributes to identify congruent angles.,L,0,3,0,3
Use attributes to identify congruent polygons.,L,2,1,2,1
Use attributes to identify congruent polygons.,M,10,9,10,9
Use ballpark comparisons between U.S. Customary System and metric system to estimate measurement.,H,2,1,2,1
Use ballpark comparisons between U.S. Customary System and metric system to estimate measurement.,L,11,7,8,5
Use ballpark comparisons between U.S. Customary System and metric system to estimate measurement.,M,47,38,41,23
Use the balance point to find a missing number from a set of data.,L,7,0,7,0
Use the balance point to find a missing number from a set of data.,M,11,7,11,7
‡ Apply the order of operations to simplify expressions with whole numbers.,L,49,26,41,10
‡ Apply the order of operations to simplify expressions with whole numbers.,M,65,32,50,16
‡ Compare and order decimals; fractions; and percents.,H,3,9,3,9
‡ Compare and order decimals; fractions; and percents.,L,14,1,14,1
‡ Compare and order decimals; fractions; and percents.,M,50,42,48,26
‡ Represent equivalent relationships between decimals; fractions; and percents.,L,51,15,46,11
‡ Represent equivalent relationships between decimals; fractions; and percents.,M,41,32,36,17
‡ Solve a problem involving division of fractions and/or mixed numbers.,L,36,15,35,12
‡ Solve a problem involving division of fractions and/or mixed numbers.,M,23,11,23,11
‡ Solve a problem involving multiplication of fractions and/or mixed numbers.,L,7,6,6,6
‡ Solve a problem involving multiplication of fractions and/or mixed numbers.,M,39,33,38,31
‡ Solve problems involving multiplication or division of mixed numbers.,M,2,0,2,0
