descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Analyze histograms for a given data set.,L,0,1,0,1
Apply a transformation to the graph or coordinates of a figure and determine the graph or coordinates for the image.,L,1,0,1,0
Apply a transformation to the graph or coordinates of a figure and determine the graph or coordinates for the image.,M,1,1,1,0
Apply or describe the experimental and theoretical probability formulas to determine or calculate the probability of a compound event.,H,0,1,0,1
Apply the Fundamental Basic Counting Principle to determine the number of possible outcomes of compound events.,L,1,0,1,0
Classify quadrilaterals based on properties.,L,1,0,1,0
Classify/compare/contrast quadrilaterals based on properties.,L,0,1,0,1
Compare and/or describe the experimental and theoretical probabilities of an event.,M,1,0,1,0
Construct histograms for a given data set.,L,1,0,1,0
Describe or solve practical problems where an attribute of the figure has been changed.,L,0,1,0,1
Describe volume and surface area of cylinders and rectangular prisms.,H,0,1,0,1
Determine the absolute value of a number.,M,1,0,1,0
Determine the common difference or common ratio given a sequence or vice versa.,L,1,0,1,0
Determine the probability of a compound event.,M,0,1,0,1
Determine whether quadrilaterals are similar; identify corresponding parts; or express proportionality of corresponding sides.,L,1,0,1,0
Determine whether triangles are similar; identify corresponding parts; or express proportionality of corresponding sides.,L,2,0,1,0
Evaluate algebraic expressions for the given replacement values of the variables.,L,2,0,1,0
Graph one-step inequalities in one variable.,M,2,0,1,0
Identify or apply the properties of real numbers.,M,1,1,1,0
Identify similar properties between quadrilaterals.,M,0,1,0,1
Make inferences and comparisons for data sets displayed using different graphical representations.,L,1,0,1,0
Represent arithmetic or geometric sequences using variable expressions.,L,1,0,1,0
Represent equivalent relationships between number sentences and models of addition; subtraction; multiplication; or division of integers.,L,2,0,1,0
Represent powers of 10 with negative exponents in expanded notation; fraction form; and/or decimal form.,M,1,0,1,0
Represent relations with tables; graphs; rules; and words.,L,0,1,0,1
Represent relations with tables; graphs; rules; and words.,M,0,2,0,1
Solve multiplication/division one-step inequalities in one variable.,M,1,0,1,0
Solve one- and two-step linear equations.,L,2,0,1,0
Solve practical problems involving one- and two-step linear equations.,M,0,1,0,1
Solve problems involving volume of rectangular prisms and cylinders.,L,1,0,1,0
Translate an algebraic expression or equation to a verbal expression or sentence and vice versa.,M,1,0,1,0
Use proportional reasoning to solve or represent single- and multistep practical problems.,L,1,0,1,0
Use proportional reasoning to solve or represent single- and multistep practical problems.,M,1,1,1,0
Use the dimensions of rectangular prisms or cylinders to describe or compare volume and surface areas.,M,1,0,1,0
‡ Add; subtract; multiply; or divide integers.,L,1,0,1,0
‡ Compare and order numbers represented as fractions; decimals; percents; or numbers written in scientific notation.,L,1,0,1,0
‡ Compare and order numbers represented as fractions; decimals; percents; or numbers written in scientific notation.,M,0,1,0,1
‡ Determine an expression resulting in a negative integer.,L,1,0,1,0
‡ Determine the square root of perfect squares less than or equal to 400.,L,1,0,1,0
‡ Evaluate an expression using order of operations.,M,1,0,1,0
‡ Represent a number greater than 0 in scientific and standard notation.,L,0,1,0,1
