descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Analyze a map to explain events during the Civil War.,L,85,9,85,7
Analyze a picture to determine characteristics of an economic concept.,M,1,3,1,3
Analyze a primary source document associated to a historical figure.,L,75,15,75,15
Analyze a scenario to determine an economic concept.,L,1,0,1,0
Analyze a scenario to determine geographic location.,L,74,16,74,16
Analyze a source to associate an individual with a contribution.,L,77,13,77,13
Analyze the cause and effect relationship of events.,L,67,23,67,23
Analyze the cause and effect relationship of events.,M,2,2,2,2
Analyze the effects of tobacco on the Virginia economy.,L,83,11,83,9
Analyze the interactions between colonists and American Indians.,L,1,0,1,0
Analyze the work of archaeologists.,L,2,2,2,2
Associate a 18th-century leader with his accomplishments.,L,81,9,81,9
Associate a battle with its characteristics.,M,66,25,66,25
Associate a characteristic with a historical location.,L,85,5,85,5
Associate a geographic feature with a specific region.,L,80,15,79,14
Associate a geographic feature with its significance.,L,1,0,1,0
Associate a geographic feature with its significance.,M,77,13,77,13
Associate a group with its characteristics.,L,89,6,87,6
Associate a map to a specific event.,L,88,2,88,2
Associate a region in Virginia with its characteristics.,L,1,0,1,0
Associate a specific historical figure with a contribution.,L,298,62,88,2
Associate a structure to a geographic location.,M,65,25,65,25
Associate an American Indian language with its language group.,L,5,0,5,0
Associate characteristics with a Virginia industry.,L,80,10,80,10
Associate individuals with their accomplishments.,L,1,4,1,4
Associate specific American Indians with a region.,L,157,28,86,7
Categorize the reasons for colonization.,L,1,0,1,0
Compare significant historical documents.,M,1,0,1,0
Complete a diagram of early Virginia colonization.,L,1,0,1,0
Complete a diagram of the influences of early groups on Virginia culture.,L,1,0,1,0
Demonstrate knowledge of Virginia government.,L,2,2,2,2
Demonstrate knowledge of early settlements in North America.,L,2,2,2,2
Describe colonial life.,L,5,0,5,0
Describe events during the Pre-Civil War Era.,L,1,0,1,0
Describe political and social results of the Civil Rights Movement.,L,84,11,83,10
Describe the reasons for the relocation of Virginia's capital cities.,M,67,23,67,23
Determine the contribution of a specific group to the Jamestown colony.,L,3,2,3,2
Determine the influences on early Virginia economy.,L,0,1,0,1
Determine the reasons for colonial grievances.,L,78,16,77,15
Determine the roles of minorities during the Revolutionary War.,L,2,2,2,2
Determine the roles of minorities during the Revolutionary War.,M,2,3,2,3
Explain colonial opposition to unfair taxes.,L,1,0,1,0
Explain factors that influence people to move to new locations.,L,41,53,41,51
Explain how discrimination limited civil rights.,L,1,0,1,0
Explain individual contributions to the framing of the U.S. Constitution.,L,5,0,5,0
Explain interactions between colonists and American Indians.,L,74,20,73,19
Explain settlement patterns in colonial Virginia.,L,66,28,66,26
Explain settlement patterns in colonial Virginia.,M,0,1,0,1
Explain the characteristics of early settlements.,L,82,13,81,12
Explain the powers of the executive branch.,L,5,0,5,0
Identify a region based on its economic activity.,L,6,3,5,0
Identify an important city during a specific war.,L,1,4,1,4
Identify government actions to solve problems during reconstruction.,L,149,35,88,4
Identify specific American Indian cultural characteristics.,L,79,16,77,16
Identify the author of a specific historical document.,L,1,3,1,3
Identify the author of a specific historical document.,M,71,19,71,19
Identify the basic characteristics of economic systems.,M,1,0,1,0
Identify the industry that encouraged the growth of towns and cities.,L,70,20,70,20
Identify the industry that encouraged the growth of towns and cities.,M,1,4,1,4
Identify the landform of a designated area.,L,79,15,78,14
Identify the landform of a designated area.,M,4,1,4,1
Identify the location of early settlements.,L,79,11,79,11
Identify the location of early settlements.,M,43,51,43,49
Interpret a drawing of colonial Virginia.,L,79,15,78,14
Match a power to a level of government.,L,78,12,78,12
Sequence specific historical events.,M,1,0,1,0
Understand change over time.,L,1,0,1,0
Understand life in the post-Reconstruction South.,L,56,34,56,34
Understand life in the post-Reconstruction South.,M,1,3,1,3
Understand the factors involved in the survival of a colony.,L,3,2,3,2
Understand the powers of the branches of Virginia government.,L,1,0,1,0
Use a diagram to explain the results of the Civil War.,L,0,1,0,1
Use a map to identify a state that borders Virginia.,L,4,1,4,1
Use a map to match a geographic location with its significance.,L,2,0,1,0
Use a map to match a physical feature with a geographic location.,L,78,12,78,12
Use a map to match a physical feature with a geographic location.,M,2,2,2,2
Use a table to explain a conflict during the Civil War era.,L,2,2,2,2
